vehicle_weight,horsepower,miles_per_gallon
3365,110,19.9
3735,140,19.4
3570,139,20.2
3535,105,19.2
3155,95,20.5
2965,85,20.2
2720,88,25.1
3430,100,20.5
3210,90,19.4
3380,105,20.6
3070,85,20.8
3620,110,18.6
3410,120,18.1
3425,145,19.2
3445,165,17.7
3205,139,18.1
4080,140,17.5
2155,68,30
2560,95,27.5
2300,97,27.2
2230,75,30.9
2515,95,21.1
2745,,23.2
2855,,23.8
2405,97,23.9
2830,103,20.3
3140,125,17
2795,115,21.6
3410,,16.2
1990,,31.5
2135,,29.5
3245,,21.5
2990,85,19.8
2890,88,22.3
3265,90,20.2
3360,110,20.6
3840,130,17
3725,129,17.6
3955,138,16.5
3830,135,18.2
4360,155,16.9
4054,142,15.5
3605,125,19.2
3940,150,18.5
1925,71,31.9
1975,65,34.1
1915,80,35.7
2670,80,27.4
3530,77,25.4
3900,125,23
3190,71,27.2
3420,90,23.9
2200,70,34.2
2150,70,34.5
2020,65,31.8
2130,69,37.3
2670,90,28.4
2595,115,28.8
2700,115,26.8
2556,90,33.5
2144,76,41.5
1968,60,38.1
2120,70,32.1
2019,65,37.2
2678,90,28
2870,88,26.4
3003,90,24.3
3381,90,19.1
2188,78,34.3
2711,90,29.8
2542,,31.3
2434,,37
2265,,32.2
2110,65,46.6
2800,105,27.9
2110,65,40.8
2085,48,44.3
2335,48,43.4
2950,67,36.4
3250,67,30
1850,67,44.6
1835,67,40.9
2145,67,33.8
1845,62,29.8
2910,132,32.7
2420,100,23.7
2500,88,35
2905,80,23.6
2290,,32.4
2490,,27.2
2635,,26.6
2620,,25.8
2725,110,23.5
2385,84,30
1755,58,39.1
1875,64,39
1760,60,35.1
2065,67,32.3
1975,65,37
2050,62,37.7
1985,68,34.1
2215,63,34.7
2045,65,34.4
2380,65,29.9
2190,74,33
2320,75,34.5
2210,75,33.7
2350,75,32.4
2615,100,32.9
2635,74,31.6
3230,80,28.1
3160,,30.7
2900,116,25.4
2930,120,24.2
3415,,22.4
3725,,26.6
3060,,20.2
3465,85,17.6
2605,88,28
2640,88,27
2395,88,34
2575,85,31
2525,84,29
2735,,27
2865,,24
3035,,23
1980,,36
2025,68,37
1970,68,31
2125,63,38
2125,70,36
2160,88,36
2205,75,36
2245,70,34
1965,,38
1965,67,32
1995,67,38
2945,,25
3015,85,38
2585,92,26
2835,112,22
2665,96,32
2370,,36
2950,90,27
2790,86,27
2130,52,44
2295,,32
2625,79,28
2720,82,31
